X;Result
-6.2800000000;0.9999949301
-6.1800000000;0.9946810738
-6.0800000000;0.9794287561
-5.9800000000;0.9543903040
-5.8800000000;0.9198158954
-5.7800000000;0.8760509880
-5.6800000000;0.8235328670
-5.5800000000;0.7627862769
-5.4800000000;0.6944182178
-5.3800000000;0.6191117061
-5.2800000000;0.5376192405
-5.1800000000;0.4507550648
-5.0800000000;0.3593870958
-4.9800000000;0.2644282512
-4.8800000000;0.1668273278
-4.7800000000;0.0675594887
-4.6800000000;-0.0323833368
-4.5800000000;-0.1320026037
-4.4800000000;-0.2303029474
-4.3800000000;-0.3263021820
-4.2800000000;-0.4190411144
-4.1800000000;-0.5075931271
-4.0800000000;-0.5910734133
-3.9800000000;-0.6686479237
-3.8800000000;-0.7395415210
-3.7800000000;-0.8030458613
-3.6800000000;-0.8585264313
-3.5800000000;-0.9054288881
-3.4800000000;-0.9432846262
-3.3800000000;-0.9717153359
-3.2800000000;-0.9904369924
-3.1800000000;-0.9992625330
-3.0800000000;-0.9981037745
-2.9800000000;-0.9869722939
-2.8800000000;-0.9659793130
-2.7800000000;-0.9353345711
-2.6800000000;-0.8953442980
-2.5800000000;-0.8464080373
-2.4800000000;-0.7890147453
-2.3800000000;-0.7237378778
-2.2800000000;-0.6512296601
-2.1800000000;-0.5722145831
-2.0800000000;-0.4874821081
-1.9800000000;-0.3978788764
-1.8800000000;-0.3043001722
-1.7800000000;-0.2076810021
-1.6800000000;-0.1089867524
-1.5800000000;-0.0092035364
-1.4800000000;0.0906716272
-1.3800000000;0.1896408323
-1.2800000000;0.2867152100
-1.1800000000;0.3809248245
-1.0800000000;0.4713283590
-0.9800000000;0.5570225451
-0.8800000000;0.6371511438
-0.7800000000;0.7109135379
-0.6800000000;0.7775727187
-0.5800000000;0.8364626511
-0.4800000000;0.8869949230
-0.3800000000;0.9286646356
-0.2800000000;0.9610554374
-0.1800000000;0.9838436928
-0.0800000000;0.9968017063
