X;Result
0.1000000000;-2.3025811176
0.2000000000;-1.6094356834
0.3000000000;-1.2039716905
0.4000000000;-0.9162902507
0.5000000000;-0.6931460474
0.6000000000;-0.5108247303
0.7000000000;-0.3566733833
0.8000000000;-0.2231434910
0.9000000000;-0.1053603538
1.0000000000;0.0000000000
1.1000000000;0.0953100817
1.2000000000;0.1823215420
1.3000000000;0.2623640785
1.4000000000;0.3364711934
1.5000000000;0.4054649905
1.6000000000;0.4700031980
1.7000000000;0.5306270065
1.8000000000;0.5877864626
1.9000000000;0.6418533769
2.0000000000;0.6931460474
2.1000000000;0.7419371005
2.2000000000;0.7884568521
2.3000000000;0.8329081444
2.4000000000;0.8754669722
2.5000000000;0.9162902507
2.6000000000;0.9555106024
2.7000000000;0.9932503654
2.8000000000;1.0296171606
2.9000000000;1.0647100037
3.0000000000;1.0986111314
3.1000000000;1.1314003430
3.2000000000;1.1631481834
3.3000000000;1.1939214918
3.4000000000;1.2237739948
3.5000000000;1.2527609037
3.6000000000;1.2809330028
3.7000000000;1.3083316182
3.8000000000;1.3349993868
3.9000000000;1.3609742458
4.0000000000;1.3862933328
4.1000000000;1.4109855689
4.2000000000;1.4350826353
4.3000000000;1.4586125157
4.4000000000;1.4816033397
4.5000000000;1.5040758096
4.6000000000;1.5260542320
4.7000000000;1.5475598360
4.8000000000;1.5686145573
4.9000000000;1.5892334548
5.0000000000;1.6094356834
5.1000000000;1.6292377280
5.2000000000;1.6486571188
5.3000000000;1.6677049242
5.4000000000;1.6863965871
5.5000000000;1.7047451629
5.6000000000;1.7227629990
5.7000000000;1.7404641476
5.8000000000;1.7578554306
5.9000000000;1.7749493210
6.0000000000;1.7917558019
6.1000000000;1.8082866262
6.2000000000;1.8245466988
6.3000000000;1.8405465169
6.4000000000;1.8562942662
6.5000000000;1.8717999256
6.6000000000;1.8870669614
6.7000000000;1.9021043346
6.8000000000;1.9169188404
6.9000000000;1.9315190641
7.0000000000;1.9459073773
7.1000000000;1.9600915263
7.2000000000;1.9740772139
7.3000000000;1.9878719132
7.4000000000;2.0014771529
7.5000000000;2.0148997047
7.6000000000;2.0281444009
7.7000000000;2.0412158838
7.8000000000;2.0541208184
7.9000000000;2.0668593921
8.0000000000;2.0794376658
8.1000000000;2.0918596156
8.2000000000;2.1041311774
8.3000000000;2.1162521014
8.4000000000;2.1282278044
8.5000000000;2.1400617179
8.6000000000;2.1517591704
8.7000000000;2.1633195711
8.8000000000;2.1747477979
8.9000000000;2.1860468328
9.0000000000;2.1972195576
9.1000000000;2.2082709218
9.2000000000;2.2191995410
9.3000000000;2.2300099587
9.4000000000;2.2407046987
9.5000000000;2.2512882733
9.6000000000;2.2617591383
9.7000000000;2.2721214471
9.8000000000;2.2823774226
9.9000000000;2.2925292195
10.0000000000;2.3025811176
