X;Result
-6.2800000000;313.9395527962
-6.2700000000;75.8375524400
-6.2600000000;43.1230201589
-6.2500000000;30.1227484134
-6.2400000000;23.1416230571
-6.2300000000;18.7844510955
-6.2200000000;15.8053951625
-6.2100000000;13.6395398593
-6.2000000000;11.9936109995
-6.1900000000;10.7002245727
-6.1800000000;9.6568817598
-6.1700000000;8.7973075237
-6.1600000000;8.0767472175
-6.1500000000;7.4638874690
-6.1400000000;6.9361625172
-6.1300000000;6.4768989737
-6.1200000000;6.0735103988
-6.1100000000;5.7163173668
-6.1000000000;5.3977540025
-6.0900000000;5.1118209551
-6.0800000000;4.8536999058
-6.0700000000;4.6194765719
-6.0600000000;4.4059381755
-6.0500000000;4.2104230260
-6.0400000000;4.0307072138
-6.0300000000;3.8649181555
-6.0200000000;3.7114686489
-6.0100000000;3.5690014969
-6.0000000000;3.4363535382
-5.9900000000;3.3125195043
-5.9800000000;3.1966267348
-5.9700000000;3.0879140065
-5.9600000000;2.9857142921
-5.9500000000;2.8894406252
-5.9400000000;2.7985744351
-5.9300000000;2.7126558646
-5.9200000000;2.6312756859
-5.9100000000;2.5540685177
-5.9000000000;2.4807071034
-5.8900000000;2.4108974630
-5.8800000000;2.3443747659
-5.8700000000;2.2808998033
-5.8600000000;2.2202559614
-5.8500000000;2.1622466124
-5.8400000000;2.1066928601
-5.8300000000;2.0534315831
-5.8200000000;2.0023137320
-5.8100000000;1.9532028420
-5.8000000000;1.9059737308
-5.7900000000;1.8605113542
-5.7800000000;1.8167097988
-5.7700000000;1.7744713922
-5.7600000000;1.7337059151
-5.7500000000;1.6943299023
-5.7400000000;1.6562660208
-5.7300000000;1.6194425151
-5.7200000000;1.5837927123
-5.7100000000;1.5492545781
-5.7000000000;1.5157703192
-5.6900000000;1.4832860255
-5.6800000000;1.4517513481
-5.6700000000;1.4211192084
-5.6600000000;1.3913455361
-5.6500000000;1.3623890308
-5.6400000000;1.3342109469
-5.6300000000;1.3067748977
-5.6200000000;1.2800466772
-5.6100000000;1.2539940982
-5.6000000000;1.2285868440
-5.5900000000;1.2037963336
-5.5800000000;1.1795955977
-5.5700000000;1.1559591658
-5.5600000000;1.1328629621
-5.5500000000;1.1102842104
-5.5400000000;1.0882013461
-5.5300000000;1.0665939358
-5.5200000000;1.0454426030
-5.5100000000;1.0247290251
-5.5000000000;1.0044356028
-5.4900000000;0.9845458086
-5.4800000000;0.9650438572
-5.4700000000;0.9459147253
-5.4600000000;0.9271441047
-5.4500000000;0.9087183597
-5.4400000000;0.8906244864
-5.4300000000;0.8728500755
-5.4200000000;0.8553832779
-5.4100000000;0.8382127720
-5.4000000000;0.8213277336
-5.3900000000;0.8047178078
-5.3800000000;0.7883730830
-5.3700000000;0.7722840656
-5.3600000000;0.7564416578
-5.3500000000;0.7408371357
-5.3400000000;0.7254621292
-5.3300000000;0.7103086030
-5.3200000000;0.6953687943
-5.3100000000;0.6806353787
-5.3000000000;0.6661011754
-5.2900000000;0.6517593221
-5.2800000000;0.6376032131
-5.2700000000;0.6236264858
-5.2600000000;0.6098230089
-5.2500000000;0.5961868706
-5.2400000000;0.5827123677
-5.2300000000;0.5693939954
-5.2200000000;0.5562264373
-5.2100000000;0.5432045566
-5.2000000000;0.5303233871
-5.1900000000;0.5175781250
-5.1800000000;0.5049641212
-5.1700000000;0.4924768740
-5.1600000000;0.4801120216
-5.1500000000;0.4678653361
-5.1400000000;0.4557327167
-5.1300000000;0.4437101839
-5.1200000000;0.4317938736
-5.1100000000;0.4199800321
-5.1000000000;0.4082650104
-5.0900000000;0.3966452595
-5.0800000000;0.3851173259
-5.0700000000;0.3736778466
-5.0600000000;0.3623235455
-5.0500000000;0.3510512287
-5.0400000000;0.3398577809
-5.0300000000;0.3287401614
-5.0200000000;0.3176954010
-5.0100000000;0.3067205981
-5.0000000000;0.2958129155
-4.9900000000;0.2849695773
-4.9800000000;0.2741878661
-4.9700000000;0.2634651193
-4.9600000000;0.2527987274
-4.9500000000;0.2421861303
-4.9400000000;0.2316248151
-4.9300000000;0.2211123137
-4.9200000000;0.2106462002
-4.9100000000;0.2002240884
-4.9000000000;0.1898436298
-4.8900000000;0.1795025110
-4.8800000000;0.1691984521
-4.8700000000;0.1589292041
-4.8600000000;0.1486925470
-4.8500000000;0.1384862880
-4.8400000000;0.1283082594
-4.8300000000;0.1181562745
-4.8200000000;0.1080282967
-4.8100000000;0.0979221781
-4.8000000000;0.0878358330
-4.7900000000;0.0777671916
-4.7800000000;0.0677141987
-4.7700000000;0.0576748116
-4.7600000000;0.0476469986
-4.7500000000;0.0376287371
-4.7400000000;0.0276180125
-4.7300000000;0.0176128159
-4.7200000000;0.0076111433
-4.7100000000;-0.0023890071
-4.7000000000;-0.0123896353
-4.6900000000;-0.0223927420
-4.6800000000;-0.0324003299
-4.6700000000;-0.0424144051
-4.6600000000;-0.0524369791
-4.6500000000;-0.0624700701
-4.6400000000;-0.0725157047
-4.6300000000;-0.0825759240
-4.6200000000;-0.0926527683
-4.6100000000;-0.1027483035
-4.6000000000;-0.1128646067
-4.5900000000;-0.1230037719
-4.5800000000;-0.1331679118
-4.5700000000;-0.1433591595
-4.5600000000;-0.1535796702
-4.5500000000;-0.1638316236
-4.5400000000;-0.1741172251
-4.5300000000;-0.1844387082
-4.5200000000;-0.1947983367
