X;Result
-6.2800000000;313.9411444584
-6.2700000000;75.8441449573
-6.2600000000;43.1346132044
-6.2500000000;30.1393425038
-6.2400000000;23.1632190032
-6.2300000000;18.8110499692
-6.2200000000;15.8369982904
-6.2100000000;13.6761488205
-6.2000000000;12.0352282324
-6.1900000000;10.7468514645
-6.1800000000;9.7085206643
-6.1700000000;8.8539610426
-6.1600000000;8.1384182021
-6.1500000000;7.5305790220
-6.1400000000;7.0078779940
-6.1300000000;6.5536419831
-6.1200000000;6.1552848045
-6.1100000000;5.8031272880
-6.1000000000;5.4896038151
-6.0900000000;5.2087152925
-6.0800000000;4.9556436602
-6.0700000000;4.7264748950
-6.0600000000;4.5179964800
-6.0500000000;4.3275469864
-6.0400000000;4.1529027677
-6.0300000000;3.9921915048
-6.0200000000;3.8438262899
-6.0100000000;3.7064501346
-6.0000000000;3.5789001755
-5.9900000000;3.4601714141
-5.9800000000;3.3493914613
-5.9700000000;3.2457993667
-5.9600000000;3.1487283777
-5.9500000000;3.0575918040
-5.9400000000;2.9718713529
-5.9300000000;2.8911074468
-5.9200000000;2.8148911397
-5.9100000000;2.7428573339
-5.9000000000;2.6746790584
-5.8900000000;2.6100626205
-5.8800000000;2.5487434795
-5.8700000000;2.4904827188
-5.8600000000;2.4350640184
-5.8500000000;2.3822910474
-5.8400000000;2.3319852083
-5.8300000000;2.2839836813
-5.8200000000;2.2381377208
-5.8100000000;2.1943111687
-5.8000000000;2.1523791520
-5.7900000000;2.1122269385
-5.7800000000;2.0737489298
-5.7700000000;2.0368477713
-5.7600000000;2.0014335645
-5.7500000000;1.9674231683
-5.7400000000;1.9347395767
-5.7300000000;1.9033113648
-5.7200000000;1.8730721932
-5.7100000000;1.8439603649
-5.7000000000;1.8159184274
-5.6900000000;1.7888928149
-5.6800000000;1.7628335264
-5.6700000000;1.7376938353
-5.6600000000;1.7134300271
-5.6500000000;1.6900011611
-5.6400000000;1.6673688556
-5.6300000000;1.6454970920
-5.6200000000;1.6243520368
-5.6100000000;1.6039018796
-5.6000000000;1.5841166850
-5.5900000000;1.5649682581
-5.5800000000;1.5464300204
-5.5700000000;1.5284768970
-5.5600000000;1.5110852129
-5.5500000000;1.4942325976
-5.5400000000;1.4778978977
-5.5300000000;1.4620610961
-5.5200000000;1.4467032382
-5.5100000000;1.4318063631
-5.5000000000;1.4173534405
-5.4900000000;1.4033283124
-5.4800000000;1.3897156389
-5.4700000000;1.3765008482
-5.4600000000;1.3636700902
-5.4500000000;1.3512101936
-5.4400000000;1.3391086256
-5.4300000000;1.3273534551
-5.4200000000;1.3159333179
-5.4100000000;1.3048373846
-5.4000000000;1.2940553308
-5.3900000000;1.2835773086
-5.3800000000;1.2733939210
-5.3700000000;1.2634961976
-5.3600000000;1.2538755711
-5.3500000000;1.2445238569
-5.3400000000;1.2354332326
-5.3300000000;1.2265962192
-5.3200000000;1.2180055856
-5.3100000000;1.2096546505
-5.3000000000;1.2015367820
-5.2900000000;1.1936457112
-5.2800000000;1.1859754358
-5.2700000000;1.1785202066
-5.2600000000;1.1712745160
-5.2500000000;1.1642330868
-5.2400000000;1.1573908608
-5.2300000000;1.1507429897
-5.2200000000;1.1442848251
-5.2100000000;1.1380119096
-5.2000000000;1.1319199686
-5.1900000000;1.1260049023
-5.1800000000;1.1202627782
-5.1700000000;1.1146898240
-5.1600000000;1.1092824208
-5.1500000000;1.1040370972
-5.1400000000;1.0989505227
-5.1300000000;1.0940195028
-5.1200000000;1.0892409731
-5.1100000000;1.0846119943
-5.1000000000;1.0801297478
-5.0900000000;1.0757915307
-5.0800000000;1.0715947521
-5.0700000000;1.0675369283
-5.0600000000;1.0636156796
-5.0500000000;1.0598287264
-5.0400000000;1.0561738859
-5.0300000000;1.0526490685
-5.0200000000;1.0492522753
-5.0100000000;1.0459815946
-5.0000000000;1.0428351995
-4.9900000000;1.0398113453
-4.9800000000;1.0369083667
-4.9700000000;1.0341246760
-4.9600000000;1.0314587602
-4.9500000000;1.0289091798
-4.9400000000;1.0264745660
-4.9300000000;1.0241536194
-4.9200000000;1.0219451078
-4.9100000000;1.0198478652
-4.9000000000;1.0178607897
-4.8900000000;1.0159828423
-4.8800000000;1.0142130453
-4.8700000000;1.0125504816
-4.8600000000;1.0109942928
-4.8500000000;1.0095436787
-4.8400000000;1.0081978959
-4.8300000000;1.0069562571
-4.8200000000;1.0058181300
-4.8100000000;1.0047829367
-4.8000000000;1.0038501532
-4.7900000000;1.0030193079
-4.7800000000;1.0022899821
-4.7700000000;1.0016618087
-4.7600000000;1.0011344721
-4.7500000000;1.0007077077
-4.7400000000;1.0003813017
-4.7300000000;1.0001550906
-4.7200000000;1.0000289612
-4.7100000000;1.0000028505
-4.7000000000;1.0000767453
-4.6900000000;1.0002506827
-4.6800000000;1.0005247497
-4.6700000000;1.0008990833
-4.6600000000;1.0013738712
-4.6500000000;1.0019493514
-4.6400000000;1.0026258129
-4.6300000000;1.0034036466
-4.6200000000;1.0042831403
-4.6100000000;1.0052647911
-4.6000000000;1.0063490954
-4.5900000000;1.0075366030
-4.5800000000;1.0088279178
-4.5700000000;1.0102236981
-4.5600000000;1.0117246579
-4.5500000000;1.0133315677
-4.5400000000;1.0150452553
-4.5300000000;1.0168666070
-4.5200000000;1.0187965688
-4.5100000000;1.0208361474
-4.5000000000;1.0229864117
-4.4900000000;1.0252484942
-4.4800000000;1.0276235922
-4.4700000000;1.0301129697
-4.4600000000;1.0327179592
-4.4500000000;1.0354399629
-4.4400000000;1.0382804553
-4.4300000000;1.0412409848
-4.4200000000;1.0443231758
-4.4100000000;1.0475287313
-4.4000000000;1.0508594350
-4.3900000000;1.0543171540
-4.3800000000;1.0579038412
-4.3700000000;1.0616215385
-4.3600000000;1.0654723796
-4.3500000000;1.0694585933
-4.3400000000;1.0735825065
-4.3300000000;1.0778465481
-4.3200000000;1.0822532524
-4.3100000000;1.0868052636
-4.3000000000;1.0915053391
-4.2900000000;1.0963563548
-4.2800000000;1.1013613088
-4.2700000000;1.1065233274
-4.2600000000;1.1118456693
-4.2500000000;1.1173317315
-4.2400000000;1.1229850551
-4.2300000000;1.1288093316
-4.2200000000;1.1348084090
-4.2100000000;1.1409862987
-4.2000000000;1.1473471833
-4.1900000000;1.1538954235
-4.1800000000;1.1606355669
-4.1700000000;1.1675723565
-4.1600000000;1.1747107395
-4.1500000000;1.1820558774
-4.1400000000;1.1896131563
-4.1300000000;1.1973881977
-4.1200000000;1.2053868703
-4.1100000000;1.2136153020
-4.1000000000;1.2220798937
-4.0900000000;1.2307873327
-4.0800000000;1.2397446080
-4.0700000000;1.2489590259
-4.0600000000;1.2584382271
-4.0500000000;1.2681902049
-4.0400000000;1.2782233240
-4.0300000000;1.2885463415
-4.0200000000;1.2991684289
-4.0100000000;1.3100991954
-4.0000000000;1.3213487131
-3.9900000000;1.3329275441
-3.9800000000;1.3448467696
-3.9700000000;1.3571180204
-3.9600000000;1.3697535106
-3.9500000000;1.3827660733
-3.9400000000;1.3961691086
-3.9300000000;1.4099769890
-3.9200000000;1.4242045544
-3.9100000000;1.4388675291
-3.9000000000;1.4539824809
-3.8900000000;1.4695668771
-3.8800000000;1.4856391452
-3.8700000000;1.5022187387
-3.8600000000;1.5193262078
-3.8500000000;1.5369832771
-3.8400000000;1.5552129289
-3.8300000000;1.5740394948
-3.8200000000;1.5934887545
-3.8100000000;1.6135880441
-3.8000000000;1.6343663740
-3.7900000000;1.6558545579
-3.7800000000;1.6780853535
-3.7700000000;1.7010936172
-3.7600000000;1.7249164734
-3.7500000000;1.7495935009
-3.7400000000;1.7751669374
-3.7300000000;1.8016819057
-3.7200000000;1.8291866622
-3.7100000000;1.8577328732
-3.7000000000;1.8873759192
-3.6900000000;1.9181752339
-3.6800000000;1.9501946798
-3.6700000000;1.9835029679
-3.6600000000;2.0181741244
-3.6500000000;2.0542880135
-3.6400000000;2.0919309229
-3.6300000000;2.1311962211
-3.6200000000;2.1721850973
-3.6100000000;2.2150073960
-3.6000000000;2.2597825611
-3.5900000000;2.3066407055
-3.5800000000;2.3557238283
-3.5700000000;2.4071872017
-3.5600000000;2.4612009566
-3.5500000000;2.5179519022
-3.5400000000;2.5776456182
-3.5300000000;2.6405088716
-3.5200000000;2.7067924155
-3.5100000000;2.7767742447
-3.5000000000;2.8507633957
-3.4900000000;2.9291044014
-3.4800000000;3.0121825355
-3.4700000000;3.1004300151
-3.4600000000;3.1943333722
-3.4500000000;3.2944422592
-3.4400000000;3.4013800247
-3.4300000000;3.5158564901
-3.4200000000;3.6386834792
-3.4100000000;3.7707938195
-3.4000000000;3.9132647549
-3.3900000000;4.0673470147
-3.3800000000;4.2345011975
-3.3700000000;4.4164437124
-3.3600000000;4.6152053421
-3.3500000000;4.8332066654
-3.3400000000;5.0733562883
-3.3300000000;5.3391803575
-3.3200000000;5.6349956309
-3.3100000000;5.9661442094
-3.3000000000;6.3393171771
-3.2900000000;6.7630090890
-3.2800000000;7.2481694782
-3.2700000000;7.8091587897
-3.2600000000;8.4651917232
-3.2500000000;9.2425630902
-3.2400000000;10.1782665371
-3.2300000000;11.3260296696
-3.2200000000;12.7669896373
-3.2100000000;14.6297272042
-3.2000000000;17.1308811880
-3.1900000000;20.6661037600
-3.1800000000;26.0431063003
-3.1700000000;35.2069287138
-3.1600000000;54.3292763816
-3.1500000000;118.9453263300
-3.1400000000;-627.8744307392
-3.1300000000;-86.2633018762
-3.1200000000;-46.3156034648
-3.1100000000;-31.6581752713
-3.1000000000;-24.0496304192
-3.0900000000;-19.3911994792
-3.0800000000;-16.2459681728
-3.0700000000;-13.9798498156
-3.0600000000;-12.2696124874
-3.0500000000;-10.9331849164
