X;Result
0.1000000000;-1.0000000000
0.1500000000;-0.8239088537
0.2000000000;-0.6989702430
0.2500000000;-0.6020605842
0.3000000000;-0.5228791643
0.3500000000;-0.4559324837
0.4000000000;-0.3979404867
0.4500000000;-0.3467878280
0.5000000000;-0.3010300233
0.5500000000;-0.2596376537
0.6000000000;-0.2218487446
0.6500000000;-0.1870868792
0.7000000000;-0.1549015496
0.7500000000;-0.1249387992
0.8000000000;-0.0969101541
0.8500000000;-0.0705805845
0.9000000000;-0.0457574993
0.9500000000;-0.0222764312
1.0000000000;0.0000000000
1.0500000000;0.0211893342
1.1000000000;0.0413927140
1.1500000000;0.0606976570
1.2000000000;0.0791813763
1.2500000000;0.0969101541
1.3000000000;0.1139434683
1.3500000000;0.1303337883
1.4000000000;0.1461278349
1.4500000000;0.1613682572
1.5000000000;0.1760915120
1.5500000000;0.1903319254
1.6000000000;0.2041201478
1.6500000000;0.2174839935
1.7000000000;0.2304487787
1.7500000000;0.2430376103
1.8000000000;0.2552728580
1.8500000000;0.2671720478
1.9000000000;0.2787538611
1.9500000000;0.2900347777
2.0000000000;0.3010300233
2.0500000000;0.3117536926
2.1000000000;0.3222197450
2.1500000000;0.3324388792
2.2000000000;0.3424230513
2.2500000000;0.3521828171
2.3000000000;0.3617280356
2.3500000000;0.3710679279
2.4000000000;0.3802111316
2.4500000000;0.3891657484
2.5000000000;0.3979404867
2.5500000000;0.4065406040
2.6000000000;0.4149736985
2.6500000000;0.4232461291
2.7000000000;0.4313638976
2.7500000000;0.4393326746
2.8000000000;0.4471578233
2.8500000000;0.4548453951
2.9000000000;0.4623984777
2.9500000000;0.4698224253
3.0000000000;0.4771215759
3.0500000000;0.4843000518
3.1000000000;0.4913617741
3.1500000000;0.4983104750
3.2000000000;0.5051497098
3.2500000000;0.5118838983
3.3000000000;0.5185144109
3.3500000000;0.5250451975
3.4000000000;0.5314792106
3.4500000000;0.5378192735
3.5000000000;0.5440680869
3.5500000000;0.5502282367
3.6000000000;0.5563030953
3.6500000000;0.5622933972
3.7000000000;0.5682021833
3.7500000000;0.5740316404
3.8000000000;0.5797838680
3.8500000000;0.5854608834
3.9000000000;0.5910646254
3.9500000000;0.5965969586
4.0000000000;0.6020605842
4.0500000000;0.6074555490
4.1000000000;0.6127843046
4.1500000000;0.6180484548
4.2000000000;0.6232495456
4.2500000000;0.6283890680
4.3000000000;0.6334684605
4.3500000000;0.6384891116
4.4000000000;0.6434532657
4.4500000000;0.6483605297
4.5000000000;0.6532129522
4.5500000000;0.6580117441
4.6000000000;0.6627580763
4.6500000000;0.6674530819
4.7000000000;0.6720978576
4.7500000000;0.6766934648
4.8000000000;0.6812418226
4.8500000000;0.6857422514
4.9000000000;0.6901965115
4.9500000000;0.6946055393
5.0000000000;0.6989702430
