X;Result
-6.2800000000;1.0000050700
-6.2700000000;1.0000869295
-6.2600000000;1.0002688366
-6.2500000000;1.0005508824
-6.2400000000;1.0009332079
-6.2300000000;1.0014160048
-6.2200000000;1.0019995152
-6.2100000000;1.0026840320
-6.2000000000;1.0034699502
-6.1900000000;1.0043575620
-6.1800000000;1.0053473684
-6.1700000000;1.0064398702
-6.1600000000;1.0076356215
-6.1500000000;1.0089352302
-6.1400000000;1.0103393594
-6.1300000000;1.0118487273
-6.1200000000;1.0134641089
-6.1100000000;1.0151863369
-6.1000000000;1.0170163021
-6.0900000000;1.0189549552
-6.0800000000;1.0210033081
-6.0700000000;1.0231624344
-6.0600000000;1.0254334718
-6.0500000000;1.0278176230
-6.0400000000;1.0303161573
-6.0300000000;1.0329304126
-6.0200000000;1.0356617969
-6.0100000000;1.0385117904
-6.0000000000;1.0414819476
-5.9900000000;1.0445738990
-5.9800000000;1.0477893539
-5.9700000000;1.0511301027
-5.9600000000;1.0545980190
-5.9500000000;1.0581950629
-5.9400000000;1.0619232834
-5.9300000000;1.0657848216
-5.9200000000;1.0697819141
-5.9100000000;1.0739168957
-5.9000000000;1.0781922036
-5.8900000000;1.0826103808
-5.8800000000;1.0871740801
-5.8700000000;1.0918860685
-5.8600000000;1.0967492311
-5.8500000000;1.1017665764
-5.8400000000;1.1069412407
-5.8300000000;1.1122764937
-5.8200000000;1.1177757436
-5.8100000000;1.1234425435
-5.8000000000;1.1292805967
-5.7900000000;1.1352937641
-5.7800000000;1.1414860707
-5.7700000000;1.1478617126
-5.7600000000;1.1544250655
-5.7500000000;1.1611806919
-5.7400000000;1.1681333508
-5.7300000000;1.1752880062
-5.7200000000;1.1826498371
-5.7100000000;1.1902242479
-5.7000000000;1.1980168792
-5.6900000000;1.2060336200
-5.6800000000;1.2142806195
-5.6700000000;1.2227643009
-5.6600000000;1.2314913748
-5.6500000000;1.2404688550
-5.6400000000;1.2497040738
-5.6300000000;1.2592046993
-5.6200000000;1.2689787535
-5.6100000000;1.2790346317
-5.6000000000;1.2893811233
-5.5900000000;1.3000274336
-5.5800000000;1.3109832076
-5.5700000000;1.3222585557
-5.5600000000;1.3338640802
-5.5500000000;1.3458109047
-5.5400000000;1.3581107053
-5.5300000000;1.3707757442
-5.5200000000;1.3838189051
-5.5100000000;1.3972536426
-5.5000000000;1.4110943863
-5.4900000000;1.4253560375
-5.4800000000;1.4400543857
-5.4700000000;1.4552060682
-5.4600000000;1.4708286266
-5.4500000000;1.4869405675
