X;Result
-6.2800000000;0.0031853266
-6.2700000000;0.0131860796
-6.2600000000;0.0231894704
-6.2500000000;0.0331975020
-6.2400000000;0.0432121808
-6.2300000000;0.0532355188
-6.2200000000;0.0632695348
-6.2100000000;0.0733162563
-6.2000000000;0.0833777250
-6.1900000000;0.0934559825
-6.1800000000;0.1035530956
-6.1700000000;0.1136711428
-6.1600000000;0.1238122196
-6.1500000000;0.1339784401
-6.1400000000;0.1441719391
-6.1300000000;0.1543948739
-6.1200000000;0.1646494258
-6.1100000000;0.1749378028
-6.1000000000;0.1852622405
-6.0900000000;0.1956250050
-6.0800000000;0.2060283947
-6.0700000000;0.2164747422
-6.0600000000;0.2269664167
-6.0500000000;0.2375058263
-6.0400000000;0.2480954202
-6.0300000000;0.2587376911
-6.0200000000;0.2694351198
-6.0100000000;0.2801904120
-6.0000000000;0.2910061462
-5.9900000000;0.3018850149
-5.9800000000;0.3128297680
-5.9700000000;0.3238432152
-5.9600000000;0.3349282290
-5.9500000000;0.3460877484
-5.9400000000;0.3573247820
-5.9300000000;0.3686424117
-5.9200000000;0.3800437960
-5.9100000000;0.3915321743
-5.9000000000;0.4031108705
-5.8900000000;0.4147832976
-5.8800000000;0.4265529618
-5.8700000000;0.4384234672
-5.8600000000;0.4503985204
-5.8500000000;0.4624819363
-5.8400000000;0.4746776424
-5.8300000000;0.4869896851
-5.8200000000;0.4994222354
-5.8100000000;0.5119795950
-5.8000000000;0.5246662028
-5.7900000000;0.5374866419
-5.7800000000;0.5504456467
-5.7700000000;0.5635481104
-5.7600000000;0.5767990934
-5.7500000000;0.5902038314
-5.7400000000;0.6037677447
-5.7300000000;0.6174964475
-5.7200000000;0.6313957580
-5.7100000000;0.6454717089
-5.7000000000;0.6597305590
-5.6900000000;0.6741788049
-5.6800000000;0.6888231937
-5.6700000000;0.7036707365
-5.6600000000;0.7187287227
-5.6500000000;0.7340047353
-5.6400000000;0.7495066671
-5.6300000000;0.7652427375
-5.6200000000;0.7812215115
-5.6100000000;0.7974519190
-5.6000000000;0.8139432755
-5.5900000000;0.8307053046
-5.5800000000;0.8477481621
-5.5700000000;0.8650824610
-5.5600000000;0.8827192992
-5.5500000000;0.9006702884
-5.5400000000;0.9189475860
-5.5300000000;0.9375639280
-5.5200000000;0.9565326659
-5.5100000000;0.9758677421
-5.5000000000;0.9955839849
-5.4900000000;1.0156967724
-5.4800000000;1.0362223360
-5.4700000000;1.0571777490
-5.4600000000;1.0785809831
-5.4500000000;1.1004509695
-5.4400000000;1.1228076650
-5.4300000000;1.1456721240
-5.4200000000;1.1690665761
-5.4100000000;1.1930145107
-5.4000000000;1.2175407686
-5.3900000000;1.2426716425
-5.3800000000;1.2684349854
-5.3700000000;1.2948603300
-5.3600000000;1.3219790181
-5.3500000000;1.3498243431
-5.3400000000;1.3784317056
-5.3300000000;1.4078387841
-5.3200000000;1.4380858159
-5.3100000000;1.4692154291
-5.3000000000;1.5012734356
-5.2900000000;1.5343087027
-5.2800000000;1.5683735268
-5.2700000000;1.6035239407
-5.2600000000;1.6398200550
-5.2500000000;1.6773264379
-5.2400000000;1.7161125375
-5.2300000000;1.7562531536
-5.2200000000;1.7978289649
-5.2100000000;1.8409271202
-5.2000000000;1.8856419016
-5.1900000000;1.9320754718
-5.1800000000;1.9803387170
-5.1700000000;2.0305522001
-5.1600000000;2.0828472418
-5.1500000000;2.1373671499
-5.1400000000;2.1942686214
-5.1300000000;2.2537233455
-5.1200000000;2.3159198431
-5.1100000000;2.3810655832
-5.1000000000;2.4493894276
-5.0900000000;2.5211444637
-5.0800000000;2.5966112996
-5.0700000000;2.6761019124
-5.0600000000;2.7599641599
-5.0500000000;2.8485870954
-5.0400000000;2.9424072547
-5.0300000000;3.0419161311
-5.0200000000;3.1476691092
-5.0100000000;3.2602961984
-5.0000000000;3.3805150066
-4.9900000000;3.5091465177
-4.9800000000;3.6471344061
-4.9700000000;3.7955688501
-4.9600000000;3.9557161158
-4.9500000000;4.1290556109
-4.9400000000;4.3173267061
-4.9300000000;4.5225884667
-4.9200000000;4.7472966465
-4.9100000000;4.9944040588
-4.9000000000;5.2674930474
-4.8900000000;5.5709527083
-4.8800000000;5.9102195525
-4.8700000000;6.2921097840
-4.8600000000;6.7252866412
-4.8500000000;7.2209315037
-4.8400000000;7.7937305402
-4.8300000000;8.4633677209
-4.8200000000;9.2568339055
-4.8100000000;10.2121911422
-4.8000000000;11.3848752407
-4.7900000000;12.8588930516
-4.7800000000;14.7679514562
-4.7700000000;17.3385915190
-4.7600000000;20.9876808620
-4.7500000000;26.5754334893
-4.7400000000;36.2082536296
-4.7300000000;56.7768381223
-4.7200000000;131.3863062762
-4.7100000000;-418.5839449423
-4.7000000000;-80.7126261294
-4.6900000000;-44.6573268767
-4.6800000000;-30.8638832683
-4.6700000000;-23.5768955559
-4.6600000000;-19.0705112433
-4.6500000000;-16.0076657267
-4.6400000000;-13.7901162777
-4.6300000000;-12.1100673425
-4.6200000000;-10.7929856681
-4.6100000000;-9.7325207937
-4.6000000000;-8.8601735247
-4.5900000000;-8.1298319915
-4.5800000000;-7.5093165189
-4.5700000000;-6.9754873263
-4.5600000000;-6.5112784687
-4.5500000000;-6.1038276868
-4.5400000000;-5.7432571625
-4.5300000000;-5.4218553660
-4.5200000000;-5.1335140591
-4.5100000000;-4.8733322032
-4.5000000000;-4.6373317638
-4.4900000000;-4.4222501901
-4.4800000000;-4.2253864742
-4.4700000000;-4.0444853156
-4.4600000000;-3.8776488233
-4.4500000000;-3.7232684092
-4.4400000000;-3.5799716830
-4.4300000000;-3.4465806306
-4.4200000000;-3.3220783750
-4.4100000000;-3.2055825315
-4.4000000000;-3.0963236820
-4.3900000000;-2.9936278539
-4.3800000000;-2.8969021626
-4.3700000000;-2.8056229702
-4.3600000000;-2.7193260595
-4.3500000000;-2.6375984360
-4.3400000000;-2.5600714494
-4.3300000000;-2.4864149957
-4.3200000000;-2.4163326052
-4.3100000000;-2.3495572628
-4.3000000000;-2.2858478368
-4.2900000000;-2.2249860148
-4.2800000000;-2.1667736648
-4.2700000000;-2.1110305538
-4.2600000000;-2.0575923701
-4.2500000000;-2.0063090008
-4.2400000000;-1.9570430291
-4.2300000000;-1.9096684182
-4.2200000000;-1.8640693553
-4.2100000000;-1.8201392341
-4.2000000000;-1.7777797561
-4.1900000000;-1.7369001351
-4.1800000000;-1.6974163920
-4.1700000000;-1.6592507266
-4.1600000000;-1.6223310730
-4.1500000000;-1.5865901310
-4.1400000000;-1.5519656377
-4.1300000000;-1.5183994758
-4.1200000000;-1.4858374379
-4.1100000000;-1.4542289026
-4.1000000000;-1.4235265410
-4.0900000000;-1.3936860519
-4.0800000000;-1.3646659227
-4.0700000000;-1.3364272117
-4.0600000000;-1.3089333511
-4.0500000000;-1.2821499672
-4.0400000000;-1.2560447178
-4.0300000000;-1.2305871423
-4.0200000000;-1.2057485261
-4.0100000000;-1.1815017758
-4.0000000000;-1.1578213056
-3.9900000000;-1.1346829320
-3.9800000000;-1.1120637788
-3.9700000000;-1.0899421879
-3.9600000000;-1.0682976385
-3.9500000000;-1.0471106726
-3.9400000000;-1.0263628918
-3.9300000000;-1.0060366243
-3.9200000000;-0.9861152763
-3.9100000000;-0.9665829997
-3.9000000000;-0.9474247121
-3.8900000000;-0.9286260502
-3.8800000000;-0.9101733260
-3.8700000000;-0.8920534868
-3.8600000000;-0.8742540773
-3.8500000000;-0.8567632050
-3.8400000000;-0.8395695073
-3.8300000000;-0.8226621215
-3.8200000000;-0.8060306565
-3.8100000000;-0.7896651660
-3.8000000000;-0.7735561242
-3.7900000000;-0.7576944026
-3.7800000000;-0.7420712481
-3.7700000000;-0.7266782632
-3.7600000000;-0.7115073868
-3.7500000000;-0.6965508761
-3.7400000000;-0.6818012905
-3.7300000000;-0.6672514753
-3.7200000000;-0.6528945472
-3.7100000000;-0.6387238805
-3.7000000000;-0.6247330938
-3.6900000000;-0.6109160377
-3.6800000000;-0.5972667834
-3.6700000000;-0.5837796114
-3.6600000000;-0.5704490013
-3.6500000000;-0.5572696223
-3.6400000000;-0.5442363236
-3.6300000000;-0.5313441255
-3.6200000000;-0.5185882117
-3.6100000000;-0.5059639211
-3.6000000000;-0.4934667403
-3.5900000000;-0.4810922969
-3.5800000000;-0.4688363523
-3.5700000000;-0.4566947959
-3.5600000000;-0.4446636388
-3.5500000000;-0.4327390079
-3.5400000000;-0.4209171408
-3.5300000000;-0.4091943804
-3.5200000000;-0.3975671700
-3.5100000000;-0.3860320485
-3.5000000000;-0.3745856335
-3.4900000000;-0.3632246681
-3.4800000000;-0.3519459383
-3.4700000000;-0.3407463227
-3.4600000000;-0.3296227750
-3.4500000000;-0.3185723203
-3.4400000000;-0.3075920516
-3.4300000000;-0.2966791268
-3.4200000000;-0.2858307653
-3.4100000000;-0.2750442451
-3.4000000000;-0.2643168994
-3.3900000000;-0.2536461144
-3.3800000000;-0.2430293263
-3.3700000000;-0.2324640186
-3.3600000000;-0.2219477197
-3.3500000000;-0.2114780003
-3.3400000000;-0.2010524712
-3.3300000000;-0.1906687809
-3.3200000000;-0.1803246135
-3.3100000000;-0.1700176863
-3.3000000000;-0.1597457480
-3.2900000000;-0.1495065764
-3.2800000000;-0.1392979765
-3.2700000000;-0.1291177788
-3.2600000000;-0.1189637946
-3.2500000000;-0.1088339859
-3.2400000000;-0.0987262033
-3.2300000000;-0.0886383596
-3.2200000000;-0.0785683840
-3.2100000000;-0.0685142200
-3.2000000000;-0.0584738240
-3.1900000000;-0.0484451635
-3.1800000000;-0.0384262154
-3.1700000000;-0.0284149642
-3.1600000000;-0.0184094010
-3.1500000000;-0.0084075211
-3.1400000000;0.0015926772
-3.1300000000;0.0115931940
-3.1200000000;0.0215960300
-3.1100000000;0.0316031876
-3.1000000000;0.0416166726
-3.0900000000;0.0516384960
-3.0800000000;0.0616706753
-3.0700000000;0.0717152365
-3.0600000000;0.0817742156
-3.0500000000;0.0918496600
-3.0400000000;0.1019436306
-3.0300000000;0.1120582033
-3.0200000000;0.1221954706
-3.0100000000;0.1323575436
-3.0000000000;0.1425465538
-2.9900000000;0.1527646546
-2.9800000000;0.1630140235
-2.9700000000;0.1732968639
-2.9600000000;0.1836154071
-2.9500000000;0.1939719142
-2.9400000000;0.2043686781
-2.9300000000;0.2148080260
-2.9200000000;0.2252923211
-2.9100000000;0.2358239650
-2.9000000000;0.2464054003
-2.8900000000;0.2570391127
-2.8800000000;0.2677276334
-2.8700000000;0.2784735419
-2.8600000000;0.2892794763
-2.8500000000;0.3001481049
-2.8400000000;0.3110821761
-2.8300000000;0.3220844898
-2.8200000000;0.3331579084
-2.8100000000;0.3443053601
-2.8000000000;0.3555298420
-2.7900000000;0.3668344243
-2.7800000000;0.3782222528
-2.7700000000;0.3896965540
-2.7600000000;0.4012606379
-2.7500000000;0.4129179031
-2.7400000000;0.4246718405
-2.7300000000;0.4365260384
-2.7200000000;0.4484841869
-2.7100000000;0.4605500830
-2.7000000000;0.4727276361
-2.6900000000;0.4850208733
-2.6800000000;0.4974339451
-2.6700000000;0.5099711323
-2.6600000000;0.5226368512
-2.6500000000;0.5354356616
-2.6400000000;0.5483722732
-2.6300000000;0.5614515536
-2.6200000000;0.5746785358
-2.6100000000;0.5880584270
-2.6000000000;0.6015966177
-2.5900000000;0.6152986465
-2.5800000000;0.6291703881
-2.5700000000;0.6432177944
-2.5600000000;0.6574470875
-2.5500000000;0.6718647252
-2.5400000000;0.6864774138
-2.5300000000;0.7012921215
-2.5200000000;0.7163160924
-2.5100000000;0.7315568616
-2.5000000000;0.7470222714
-2.4900000000;0.7627204882
-2.4800000000;0.7786600205
-2.4700000000;0.7948497387
-2.4600000000;0.8112988956
-2.4500000000;0.8280171481
-2.4400000000;0.8450145816
-2.4300000000;0.8623017345
-2.4200000000;0.8798896254
-2.4100000000;0.8977897823
-2.4000000000;0.9160142734
-2.3900000000;0.9345757404
-2.3800000000;0.9534874340
-2.3700000000;0.9727632528
-2.3600000000;0.9924177844
-2.3500000000;1.0124663497
-2.3400000000;1.0329250511
-2.3300000000;1.0538108240
-2.3200000000;1.0751414933
-2.3100000000;1.0969358328
-2.3000000000;1.1192136315
-2.2900000000;1.1419957638
-2.2800000000;1.1653042668
-2.2700000000;1.1891624232
-2.2600000000;1.2135948521
-2.2500000000;1.2386275674
-2.2400000000;1.2642882486
-2.2300000000;1.2906061102
-2.2200000000;1.3176121969
-2.2100000000;1.3453394810
-2.2000000000;1.3738230166
-2.1900000000;1.4031001074
-2.1800000000;1.4332104916
-2.1700000000;1.4641965454
-2.1600000000;1.4961035072
-2.1500000000;1.5289797247
-2.1400000000;1.5628769282
-2.1300000000;1.5978505335
-2.1200000000;1.6339599775
-2.1100000000;1.6712690913
-2.1000000000;1.7098465155
-2.0900000000;1.7497661639
-2.0800000000;1.7911077410
-2.0700000000;1.8339573227
-2.0600000000;1.8784080074
-2.0500000000;1.9245606489
-2.0400000000;1.9725246832
-2.0300000000;2.0224190632
-2.0200000000;2.0743733180
-2.0100000000;2.1285287574
-2.0000000000;2.1850398440
-1.9900000000;2.2440757629
-1.9800000000;2.3058222201
-1.9700000000;2.3704835124
-1.9600000000;2.4382849158
-1.9500000000;2.5094754515
-1.9400000000;2.5843311026
-1.9300000000;2.6631586560
-1.9200000000;2.7462997405
-1.9100000000;2.8341365470
-1.9000000000;2.9270975821
-1.8900000000;3.0256650297
-1.8800000000;3.1303834313
-1.8700000000;3.2418701065
-1.8600000000;3.3608277359
-1.8500000000;3.4880596474
-1.8400000000;3.6244885107
-1.8300000000;3.7711793574
-1.8200000000;3.9293681452
-1.8100000000;4.1004974861
-1.8000000000;4.2862617271
-1.7900000000;4.4886643714
-1.7800000000;4.7100919667
-1.7700000000;4.9534102500
-1.7600000000;5.2220907803
-1.7500000000;5.5203799711
-1.7400000000;5.8535280608
-1.7300000000;6.2281043780
-1.7200000000;6.6524393848
-1.7100000000;7.1372572513
-1.7000000000;7.6966021869
-1.6900000000;8.3492310322
-1.6800000000;9.1207709837
-1.6700000000;10.0471838749
-1.6600000000;11.1805521409
-1.6500000000;12.5992668650
-1.6400000000;14.4270272553
-1.6300000000;16.8711077983
-1.6200000000;20.3072861559
-1.6100000000;25.4947505809
-1.6000000000;34.2325424686
-1.5900000000;52.0669901722
-1.5800000000;108.6492849867
-1.5700000000;-1255.7556979210
-1.5600000000;-92.6204473752
-1.5500000000;-48.0784704971
-1.5400000000;-32.4611339543
-1.5300000000;-24.4984078802
-1.5200000000;-19.6695263242
-1.5100000000;-16.4280907589
-1.5000000000;-14.1014193175
-1.4900000000;-12.3498560053
-1.4800000000;-10.9833790029
-1.4700000000;-9.8873746645
-1.4600000000;-8.9886074325
-1.4500000000;-8.2380926252
-1.4400000000;-7.6018259643
-1.4300000000;-7.0554636910
-1.4200000000;-6.5811193975
-1.4100000000;-6.1653560985
-1.4000000000;-5.7978836792
-1.3900000000;-5.4706886142
-1.3800000000;-5.1774373657
-1.3700000000;-4.9130580522
-1.3600000000;-4.6734411884
-1.3500000000;-4.4552217479
-1.3400000000;-4.2556178824
-1.3300000000;-4.0723098279
-1.3200000000;-3.9033477815
-1.3100000000;-3.7470809714
-1.3000000000;-3.6021024441
-1.2900000000;-3.4672055558
-1.2800000000;-3.3413498944
-1.2700000000;-3.2236331117
-1.2600000000;-3.1132690632
-1.2500000000;-3.0095696094
-1.2400000000;-2.9119298026
-1.2300000000;-2.8198156810
-1.2200000000;-2.7327541509
-1.2100000000;-2.6503245509
-1.2000000000;-2.5721515819
-1.1900000000;-2.4978993508
-1.1800000000;-2.4272663280
-1.1700000000;-2.3599810609
-1.1600000000;-2.2957985126
-1.1500000000;-2.2344969233
-1.1400000000;-2.1758751080
