X;Result
-5.0000000000;1251.2702042339
-4.9900000000;1479.2318387462
-4.9800000000;1760.4330131552
-4.9700000000;2110.1588364758
-4.9600000000;2548.9595794124
-4.9500000000;3104.7912198524
-4.9400000000;3816.1710486753
-4.9300000000;4736.9049487029
-4.9200000000;5943.2936554472
-4.9100000000;7545.3287046273
-4.9000000000;9704.4524455999
-4.8900000000;12662.3820228625
-4.8800000000;16789.0862460453
-4.8700000000;22664.9134785135
-4.8600000000;31225.6558420012
-4.8500000000;44027.9748690657
-4.8400000000;63754.8627238594
-4.8300000000;95223.4926189894
-4.8200000000;147502.0973454542
-4.8100000000;238645.6779629932
-4.8000000000;407087.2727124799
-4.7900000000;741591.0114780511
-4.7800000000;1469130.4047644800
-4.7700000000;3251261.0511403810
-4.7600000000;8385692.4766905640
-4.7500000000;27105757.9042888200
-4.7400000000;126429547.6750510300
-4.7300000000;1191302572.0321681000
-4.7200000000;78604237360.7360200000
-4.7100000000;-25641333813778.5350000000
-4.7000000000;-6810621800.9852400000
-4.6900000000;-351675589.0349320000
-4.6800000000;-55249214.9798533500
-4.6700000000;-14325311.0298861280
-4.6600000000;-4946343.6724143360
-4.6500000000;-2056450.8823710075
-4.6400000000;-973929.7697355924
-4.6300000000;-507973.3826975002
-4.6200000000;-285385.6658554591
-4.6100000000;-170087.0555367213
-4.6000000000;-106360.5239507883
-4.5900000000;-69215.9828579726
-4.5800000000;-46583.7467508154
-4.5700000000;-32265.9058793591
-4.5600000000;-22911.1260043097
-4.5500000000;-16625.5539228178
-4.5400000000;-12297.3653809443
-4.5300000000;-9251.7360112933
-4.5200000000;-7066.8807259793
-4.5100000000;-5472.2105554894
-4.5000000000;-4290.0413675104
-4.4900000000;-3401.2241961405
-4.4800000000;-2724.3326502091
-4.4700000000;-2202.7527996338
-4.4600000000;-1796.4981633936
-4.4500000000;-1476.9160522843
-4.4400000000;-1223.2009156835
-4.4300000000;-1020.0590724042
-4.4200000000;-856.1202566864
-4.4100000000;-722.8415940653
-4.4000000000;-613.7412529852
-4.3900000000;-523.8559533706
-4.3800000000;-449.3524940154
-4.3700000000;-387.2465596122
-4.3600000000;-335.1971168123
-4.3500000000;-291.3546481569
-4.3400000000;-254.2481226989
-4.3300000000;-222.7001054212
-4.3200000000;-195.7624920227
-4.3100000000;-172.6674910909
-4.3000000000;-152.7899691578
-4.2900000000;-135.6183286925
-4.2800000000;-120.7318405070
-4.2700000000;-107.7828921122
-4.2600000000;-96.4830048953
-4.2500000000;-86.5917587840
-4.2400000000;-77.9079733199
-4.2300000000;-70.2626498576
-4.2200000000;-63.5132958202
-4.2100000000;-57.5393391987
-4.2000000000;-52.2384073953
-4.1900000000;-47.5232946048
-4.1800000000;-43.3194802089
-4.1700000000;-39.5630900742
-4.1600000000;-36.1992331022
